总台,#genre#
CBN重温经典, http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
CCTV, http://223.105.252.59/PLTV/4/224/3221228228/index.m3u8
CCTV, http://223.105.252.40/PLTV/3/224/3221228165/index.m3u8
CCTV1综合, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV2财经, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
CCTV3综艺, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV4中文国际, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV4美洲, http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221226366/2/index.m3u8
CCTV4欧洲, http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221226361/2/index.m3u8
CCTV5体育, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8
CCTV5+体育赛事, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8
CCTV6电影, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8
CCTV7军事, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225644/index.m3u8
CCTV8电视剧, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225631/index.m3u8
CCTV9纪录, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV10科教, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225627/index.m3u8
CCTV11戏曲, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225628/index.m3u8
CCTV12社会与法, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225629/index.m3u8
CCTV13新闻, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225638/index.m3u8
CCTV14少儿, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225639/index.m3u8
CCTV15音乐, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225641/index.m3u8
CCTV16奥林匹克, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226230/index.m3u8
CCTV17农业, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226270/index.m3u8
CCTV兵器科技, http://39.135.140.104:6610/PLTV/88888888/224/3221226321/2/index.m3u8
CCTV第一剧场, http://39.135.140.104:6610/PLTV/88888888/224/3221226284/2/index.m3u8
CCTV电视指南, http://39.135.140.104:6610/PLTV/88888888/224/3221226359/2/index.m3u8
CCTV风云剧场, http://39.135.140.104:6610/PLTV/88888888/224/3221226315/2/index.m3u8
CCTV风云音乐, http://39.135.140.104:6610/PLTV/88888888/224/3221226287/2/index.m3u8
CCTV风云足球, http://39.135.140.104:6610/PLTV/88888888/224/3221226302/2/index.m3u8
CCTV高尔夫网球, http://39.135.140.104:6610/PLTV/88888888/224/3221226299/2/index.m3u8
CCTV怀旧剧场, http://39.135.140.104:6610/PLTV/88888888/224/3221226318/2/index.m3u8
CCTV女性时尚, http://39.135.140.104:6610/PLTV/88888888/224/3221226293/2/index.m3u8
CCTV世界地理, http://39.135.140.104:6610/PLTV/88888888/224/3221226290/2/index.m3u8
CCTV央视台球, http://39.135.140.104:6610/PLTV/88888888/224/3221226339/2/index.m3u8
CCTV央视文化精品, http://39.135.140.104:6610/PLTV/88888888/224/3221226296/2/index.m3u8
CETV1综合教育频道, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225661/index.m3u8
CETV2教育教学频道, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226242/index.m3u8
CETV4职业教育频道, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225937/index.m3u8
CGTN, https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN纪录, https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
书画频道, http://211.103.180.178:8233/live_hls/hdmi.m3u8
中国天气, http://zcj.work.gd/ZhongGuoTianQi.m3u8
新华新闻, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226297/index.m3u8
新华全球连线, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226298/index.m3u8

卫视,#genre#
江西卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/index.m3u8
安徽卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225737/index.m3u8
北京卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225673/index.m3u8
兵团卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226200/index.m3u8
重庆卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225692/index.m3u8
东方卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225659/index.m3u8
东南卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226326/index.m3u8
厦门卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226199/index.m3u8
甘肃卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225724/index.m3u8
贵州卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225728/index.m3u8
广东卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225742/index.m3u8
大湾区卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226203/index.m3u8
深圳卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225700/index.m3u8
广西卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225731/index.m3u8
海南卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225722/index.m3u8
河北卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225732/index.m3u8
河南卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226196/index.m3u8
黑龙江卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225690/index.m3u8
湖北卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225699/index.m3u8
湖南卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225704/index.m3u8
吉林卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225680/index.m3u8
辽宁卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225696/index.m3u8
内蒙古卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225667/index.m3u8
宁夏卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225726/index.m3u8
江苏卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225743/index.m3u8
青海卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225727/index.m3u8
山东卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225738/index.m3u8
山西卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225730/index.m3u8
陕西卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225729/index.m3u8
农林卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226204/index.m3u8
四川卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225733/index.m3u8
天津卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225739/index.m3u8
西藏卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225723/index.m3u8
新疆卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225725/index.m3u8
延边卫视, https://live.ybtvyun.com/video/s10006-d48b8590849c/index.m3u8
云南卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225664/index.m3u8
浙江卫视, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225703/index.m3u8
香港卫视, http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8

付费,#genre#
4KUHD, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
CHC动作电影, http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221226308/2/index.m3u8
CHC影迷电影, http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221226305/2/index.m3u8
CHC家庭影院, http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221226319/2/index.m3u8
畅享影院, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226300/index.m3u8
哒啵电竞, http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226265/index.m3u8
哒啵赛事, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225653/index.m3u8
点掌财经, https://volcanopull.aniu.tv/live/aniu2/index.m3u8
动画世界, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226272/index.m3u8
黑莓电影, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225764/index.m3u8
黑莓动画, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225672/index.m3u8
睛彩竞技, http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226243/index.m3u8
睛彩篮球, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226240/index.m3u8
睛彩青少, http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226261/index.m3u8
追番必看, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226269/index.m3u8

春晚,#genre#
1983, http://txmov2.a.kwimgs.com/bs3/video-hls/5207287136834522947_hlshd15.m3u8
1984, https://txmov2.a.kwimgs.com/bs3/video-hls/5229242184269609742_hlshd15.m3u8
1985, http://txmov2.a.kwimgs.com/bs3/video-hls/5227271857652377954_hlshd15.m3u8
1986, https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
1987, https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
1988, https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
1989, https://txmov2.a.kwimgs.com/bs3/video-hls/5194620763762726260_hlsb.m3u8
1990, https://cdn8.yzzy-online.com/20220704/597_e0d90c37/1000k/hls/index.m3u8
1991, https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
1992, https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
1993, https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
1994, https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
1995, https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
1996, https://txmov2.a.kwimgs.com/bs3/video-hls/5202783562064785590_hlshd15.m3u8
1997, https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
1998, https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
1999, https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
2000, https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8
2001, https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8
2002, https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8
2003, https://txmov2.a.kwimgs.com/bs3/video-hls/5232338436280256836_hlshd15.m3u8
2004, https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8
2005, https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8
2006, https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8
2007, https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8
2008, https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
2009, https://txmov2.a.kwimgs.com/bs3/video-hls/5214042558858339330_hlshd15.m3u8
2010, https://txmov2.a.kwimgs.com/bs3/video-hls/5210664862006975841_hlshd15.m3u8
2011, https://txmov2.a.kwimgs.com/bs3/video-hls/5243597434070590481_hlshd15.m3u8
2012, https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8
2013, https://txmov2.a.kwimgs.com/bs3/video-hls/5241627109089548390_hlshd15.m3u8
2014, https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
2015, https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
2016, https://txmov2.a.kwimgs.com/bs3/video-hls/5238530884094441260_hlshd15.m3u8
2017, https://txmov2.a.kwimgs.com/bs3/video-hls/5191524564569524830_hlshd15.m3u8
2018, https://txmov2.a.kwimgs.com/bs3/video-hls/5212635188105848764_hlshd15.m3u8
2019, https://txmov2.a.kwimgs.com/bs3/video-hls/5239093835831655107_hlshd15.m3u8
2020, https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
2021, https://txmov2.a.kwimgs.com/bs3/video-hls/5255700831151909807_hlshd15.m3u8
2022, https://txmov2.a.kwimgs.com/bs3/video-hls/5224457109297710655_hlshd15.m3u8
2023, https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8

外语,#genre#
Arirang, http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
CNN, https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
KBS, https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/master.m3u8
Russia, https://rt-glb.rttv.com/live/rtnews/playlist.m3u8
TBS, http://143.244.60.30/TBS/index.m3u8
VOA, https://voa-ingest.akamaized.net/hls/live/2033874/tvmc06/playlist.m3u8

江西,#genre#
江西新闻, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225615/index.m3u8?fmt=ts2hls
